,name,album,artists,release_date,duration_ms,popularity,danceability,acousticness,valence,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,id,mode,key,explicit,year
43,Kabhi Khushi Kabhie Gham,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit,2001-11-28,471946,52,0.429,0.524,0.668,0.763,0.000199,0.127,-5.91,0.107,100.835,4,0eGtFJBfYUKF2CvNZJEu3M,1,1,False,2001
44,"Jigar Da Tukda (From ""Ladies V/s Ricky Bahl"")",Bollywood: the Holiday Album,Various Artists,2011-11-18,252120,0,0.737,0.329,0.876,0.911,0.000212,0.0273,-5.845,0.0466,130.003,4,6m71tTBBpBQw5y1QDgqPUK,0,4,False,2011
45,Daav Laga,Aagey Se Right (Original Motion Picture Soundtrack),Amartya Rahut,2009-08-20,180506,26,0.803,0.0503,0.909,0.909,0.00563,0.255,-3.822,0.0577,97.009,4,6A0Tg8hs7zZqGJgNziGJ2S,1,11,False,2009
46,Run Away (Thuli Thuli Rude Boy Remix),Run Away (Thuli Thuli Rude Boy Remix),Arjun,2012-09-18,214468,33,0.722,0.514,0.653,0.827,0.0,0.352,-5.733,0.0718,94.024,4,7L6qpjL1FwWFz4VS2BABNC,1,5,False,2012
47,Sajdaa,My Name Is Khan (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2010-01-05,365706,57,0.468,0.726,0.572,0.737,0.00272,0.0655,-7.274,0.0765,79.448,4,5upmbnXemLfPvs3d2eyHml,1,8,False,2010
48,Achha Lagta Hai,Aarakshan (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2011-07-11,236093,43,0.845,0.00248,0.632,0.555,1.66e-05,0.0877,-7.498,0.0749,101.967,4,6VOKUdxhjSwbjinKbguOmy,1,8,False,2011
49,Husna Di Sarkar,My Time,Manni Sandhu,2012-02-23,356749,33,0.577,0.0497,0.552,0.871,9.77e-06,0.0794,-4.072,0.0414,101.993,4,7AZKb7vAEUqYqgbINhIxnq,0,5,False,2012
50,Saans,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,325706,0,0.446,0.525,0.513,0.666,1.34e-05,0.152,-7.92,0.0723,81.489,4,7gqToSn6xDLhHOXLrumZJH,1,9,False,2012
51,Mann Ki Lagan,The Best Of Bollywood - The New Millenium - Year 2000 Onwards: 12 Bollywood Hits,Various Artists,2008-11-17,291840,0,0.652,0.418,0.766,0.554,0.00273,0.302,-11.141,0.0391,147.813,4,6vFxo4fHmf1hdlHVwgcQHw,1,9,False,2008
52,Jaadu Hai Nasha,Jism.,Various Artists,2002-12-31,328573,0,0.707,0.182,0.378,0.395,1.38e-05,0.0662,-16.029,0.0512,95.007,4,4ssh93BJQJ9a4nUZr9ZrYu,0,0,False,2002
53,Pareshaan,Ishaqzaade,Amit Trivedi,2012-04-12,293773,0,0.435,0.421,0.219,0.388,2.5e-05,0.0802,-10.981,0.0346,150.026,3,4bbiENl0xDZqZE9K14lXip,0,2,False,2012
54,Jiya Re,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,318813,0,0.707,0.0482,0.599,0.721,2.62e-05,0.128,-7.932,0.0413,105.991,4,3xfpQMO1IhMqPYVFXYmH2K,0,11,False,2012
55,Ala Barfi,Barfi! (Original Motion Picture Soundtrack),Pritam,2012-06-24,319226,41,0.769,0.557,0.67,0.516,0.0,0.108,-7.989,0.0456,127.943,4,6yipH0hUeAf4YPK40k1oIY,1,7,False,2012
56,Kabhi Alvida Naa Kehna,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2006-06-08,483920,53,0.365,0.752,0.464,0.407,0.00129,0.212,-10.352,0.0424,149.161,4,4uXShFWajd1PTQzlW3P4jj,1,5,False,2006
57,Challa,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,320000,0,0.774,0.118,0.595,0.779,0.0,0.118,-5.082,0.0472,118.002,4,46DQoVAH8YJQK2svxJxAa5,1,0,False,2012
58,Tum Habibi (feat. Joe Louis),All New Everything,Parichay,2012-05-08,243160,0,0.712,0.0259,0.933,0.915,3.59e-05,0.0594,-3.609,0.0366,126.057,4,2xiFXzUjALaxdNdICLWTLC,0,10,False,2012
59,"Dooriyan (From ""Love Aaj Kal"")",Love Aaj Kal,Pritam,2009-06-27,337360,46,0.517,0.611,0.594,0.716,0.0,0.11,-6.582,0.0509,122.952,4,5doYtCoJ8KpfkFczP3F2ad,0,7,False,2009
60,Bheegi Bheegi Raton Mein,Kabhi To Nazar Milao/Bheegi Bheegi raton Mein,Adnan Sami,1997,363800,48,0.645,0.52,0.78,0.476,1.93e-06,0.29,-11.201,0.0274,103.064,4,3czT4fZGk8us5RpAU3X3KM,0,9,False,1997
61,Haan De Munde,Haan De Munde,Tasha Tah,2011-12-22,232808,34,0.7,0.12,0.754,0.894,0.0,0.346,-1.449,0.0471,140.029,4,5xEs9vr7q4nueGuMVBjsdn,0,3,False,2011
62,Lift Kara De,Kabhi To Nazar Milao/Bheegi Bheegi raton Mein,Adnan Sami,1997,253066,36,0.806,0.174,0.921,0.645,0.0,0.0585,-11.422,0.153,92.085,4,5Yita5PCCRG42WpcBRfs83,1,5,False,1997
63,"Prem Ki Naiya (From ""Ajab Prem Ki Ghazab Kahani"")",#1Hits of Pritam,Pritam,2013-01-25,246286,0,0.787,0.178,0.922,0.852,9e-05,0.118,-4.946,0.0921,132.021,4,383f4CEn70nrLa2gFjYDY1,1,6,False,2013
64,"Piya O Re Piya (From ""Tere Naal Love Ho Gaya"")",Atif Rocks,Atif Aslam,2011-05-27,292746,0,0.439,0.269,0.31,0.574,0.0,0.094,-6.394,0.0846,167.832,4,4fLK20j2ZZZ9mRkLBm664x,1,2,False,2011
65,"Tere Liye (From ""Prince"")",Atif Rocks,Atif Aslam,2011-05-27,279826,0,0.624,0.0974,0.634,0.906,0.0,0.0963,-4.435,0.0516,129.986,4,3JwbPFBiV0zkXg3ZOTmo8E,0,11,False,2011
66,"Bakhuda Tumhi Ho (From ""Kismat Konnection"")",#1Hits of Pritam,Pritam,2013-01-25,289436,0,0.236,0.602,0.507,0.756,0.0,0.237,-3.438,0.0478,169.619,5,5z9XQGSNDffKTG8wKS5IWC,1,2,False,2013
67,Soniyo,RAAZ - The Mystery Continues (Original Motion Picture Soundtrack),Various Artists,2008-12-01,328440,51,0.637,0.504,0.48,0.591,3.29e-06,0.135,-6.117,0.0342,119.956,4,4J5OpeZUR2msDPfMsIeGSU,1,9,False,2008
68,O Jaana,RAAZ - The Mystery Continues (Original Motion Picture Soundtrack),Various Artists,2008-12-01,269720,38,0.708,0.0565,0.623,0.826,0.0104,0.27,-5.942,0.0426,94.022,4,6nDsd9LoKLPHv4VcpCG5Wg,0,2,False,2008
69,Maahi,RAAZ - The Mystery Continues (Original Motion Picture Soundtrack),Various Artists,2008-12-01,329106,51,0.463,0.736,0.385,0.84,0.0,0.351,-4.035,0.0955,153.941,4,4bIQXffbALkCC0Xo6aTicP,0,9,False,2008
70,Satisfya,Satisfya,Imran Khan,2013-05-09,180056,70,0.726,0.00451,0.803,0.652,3.32e-05,0.226,-7.764,0.11,163.879,4,6HGoVbCUr63SgU3TjxEVj6,0,1,False,2013
71,"Chura Ke Dil Mera (From ""Main Khiladi Tu Anari"")",40 Unforgettable Bollywood Love Songs,Various Artists,2010-02-09,474435,0,0.529,0.179,0.821,0.568,5.15e-05,0.0387,-10.557,0.0457,121.724,4,5xwO3Q706YQnVDbMUmwnz8,0,8,False,2010
72,Mera Yaar,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2013-06-14,351293,42,0.629,0.676,0.597,0.627,0.0,0.147,-9.733,0.0454,92.932,4,2NECp5Tvb5Lm6TbJf0Y8xI,1,2,False,2013
73,Maston Ka Jhund,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2013-06-14,274013,43,0.806,0.0267,0.653,0.909,0.000343,0.057,-5.295,0.0658,119.996,4,3lSa2IIHfPmusFdvxFh9yE,1,1,False,2013
